Format Version,1.25,Take Name,G2 ML Take 2025-11-28_00_096,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 06.01.01.465 PM,Capture Start Frame,2844801,Total Frames in Take,1062,Total Exported Frames,1062,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.030185,0.288605,-0.047765,0.955780,-218.956787,84.534195,85.193924
1,0.008333,0.030189,0.288640,-0.047757,0.955769,-218.956757,84.534256,85.195160
2,0.016667,0.030126,0.288697,-0.047746,0.955755,-218.956619,84.534348,85.194214
3,0.025000,0.030100,0.288709,-0.047749,0.955752,-218.956329,84.533104,85.194710
4,0.033333,0.030133,0.288703,-0.047693,0.955755,-218.956284,84.533005,85.193909
5,0.041667,0.030263,0.288670,-0.047571,0.955767,-218.956635,84.533325,85.193069
6,0.050000,0.030241,0.288711,-0.047578,0.955755,-218.956573,84.532509,85.193726
7,0.058333,0.030214,0.288746,-0.047573,0.955746,-218.956879,84.533142,85.193764
8,0.066667,0.030182,0.288717,-0.047618,0.955753,-218.957062,84.533798,85.193008
9,0.075000,0.030220,0.288668,-0.047879,0.955754,-218.957474,84.533890,85.193283
10,0.083333,0.030971,0.288924,-0.047530,0.955670,-218.959122,84.540321,85.192993
11,0.091667,0.030637,0.288763,-0.047710,0.955720,-218.957809,84.538498,85.193077
12,0.100000,0.030289,0.288635,-0.048098,0.955751,-218.957230,84.534470,85.194038
13,0.108333,0.029975,0.288685,-0.048001,0.955750,-218.957550,84.533531,85.193672
14,0.116667,0.030908,0.288851,-0.047520,0.955694,-218.959549,84.539948,85.192581
15,0.125000,0.030602,0.288644,-0.047582,0.955764,-218.957443,84.535149,85.193855
16,0.133333,0.030151,0.288702,-0.047511,0.955764,-218.957184,84.533485,85.193726
17,0.141667,0.030077,0.288693,-0.047411,0.955774,-218.957306,84.532829,85.194427
18,0.150000,0.030047,0.288757,-0.047450,0.955754,-218.956512,84.531754,85.193413
19,0.158333,0.030200,0.288696,-0.047788,0.955750,-218.957092,84.532295,85.193192
20,0.166667,0.030120,0.288697,-0.047781,0.955753,-218.957474,84.533569,85.194031
21,0.175000,0.030002,0.288786,-0.047888,0.955724,-218.957169,84.533623,85.193283
22,0.183333,0.030057,0.288737,-0.047750,0.955744,-218.958069,84.533600,85.193268
23,0.191667,0.029979,0.288729,-0.047638,0.955755,-218.957764,84.532326,85.193901
24,0.200000,0.030231,0.288742,-0.047425,0.955754,-218.957870,84.532753,85.193893
25,0.208333,0.031367,0.288853,-0.047167,0.955696,-218.960190,84.539467,85.195045
26,0.216667,0.030848,0.288784,-0.047497,0.955718,-218.958313,84.537529,85.194191
27,0.225000,0.030416,0.288689,-0.047589,0.955756,-218.958282,84.534851,85.194328
28,0.233333,0.030178,0.288667,-0.047926,0.955753,-218.957657,84.532509,85.192833
29,0.241667,0.030069,0.288667,-0.047961,0.955755,-218.957550,84.533089,85.192719
30,0.250000,0.030979,0.288903,-0.047526,0.955676,-218.959930,84.538895,85.192429
31,0.258333,0.030671,0.288707,-0.047483,0.955747,-218.957062,84.535698,85.193336
32,0.266667,0.031289,0.288862,-0.047164,0.955696,-218.959473,84.538597,85.194016
33,0.275000,0.030703,0.288837,-0.047204,0.955721,-218.956497,84.534142,85.192924
34,0.283333,0.030363,0.288690,-0.047283,0.955772,-218.955688,84.532570,85.192841
35,0.291667,0.030153,0.288647,-0.047400,0.955786,-218.956375,84.533539,85.192009
36,0.300000,0.029980,0.288705,-0.047673,0.955761,-218.956680,84.533440,85.193321
37,0.308333,0.030116,0.288724,-0.047891,0.955739,-218.956665,84.533432,85.194527
38,0.316667,0.030055,0.288772,-0.047801,0.955732,-218.956512,84.534874,85.194038
