Format Version,1.25,Take Name,Take 2025-11-28 06.57.54 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 06.57.55.352 PM,Capture Start Frame,3254459,Total Frames in Take,1037,Total Exported Frames,1037,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.009534,-0.019779,0.015091,-0.999645,-215.256912,90.118004,84.541664
1,0.008333,-0.009625,-0.019738,0.015071,-0.999645,-215.256500,90.118492,84.541069
2,0.016667,-0.009621,-0.019712,0.015238,-0.999643,-215.257019,90.118813,84.540764
3,0.025000,-0.009589,-0.019741,0.015153,-0.999644,-215.257172,90.118637,84.542221
4,0.033333,-0.009517,-0.019755,0.015075,-0.999646,-215.256744,90.117661,84.542183
5,0.041667,-0.009576,-0.019726,0.015164,-0.999645,-215.257172,90.118584,84.542336
6,0.050000,-0.009579,-0.019786,0.015093,-0.999644,-215.257141,90.117874,84.541527
7,0.058333,-0.009597,-0.019785,0.015185,-0.999643,-215.258072,90.118828,84.541695
8,0.066667,-0.009537,-0.019748,0.015070,-0.999646,-215.257172,90.118668,84.542053
9,0.075000,-0.009522,-0.019793,0.014998,-0.999646,-215.257401,90.118423,84.541504
10,0.083333,-0.009565,-0.019840,0.015092,-0.999644,-215.257675,90.118828,84.542732
11,0.091667,-0.009521,-0.019776,0.015027,-0.999646,-215.256851,90.118759,84.542648
12,0.100000,-0.009575,-0.019775,0.015095,-0.999645,-215.257645,90.118980,84.542778
13,0.108333,-0.009510,-0.019737,0.014999,-0.999647,-215.257355,90.118500,84.542366
14,0.116667,-0.009460,-0.019714,0.015164,-0.999646,-215.256744,90.119621,84.544243
15,0.125000,-0.009583,-0.019734,0.015073,-0.999646,-215.257126,90.119347,84.543053
16,0.133333,-0.009467,-0.019691,0.014967,-0.999649,-215.256668,90.119659,84.543930
17,0.141667,-0.009536,-0.019777,0.015073,-0.999645,-215.256805,90.118683,84.543732
18,0.150000,-0.009544,-0.019749,0.015162,-0.999645,-215.256546,90.118507,84.542114
