Format Version,1.25,Take Name,Take 2025-11-28 06.59.01 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 06.59.02.012 PM,Capture Start Frame,3262458,Total Frames in Take,1057,Total Exported Frames,1057,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.010477,-0.024673,0.014649,-0.999533,-215.247223,90.105774,84.559418
1,0.008333,-0.010444,-0.024742,0.014734,-0.999531,-215.247589,90.105774,84.560783
2,0.016667,-0.010506,-0.024748,0.014725,-0.999530,-215.247528,90.105614,84.559212
3,0.025000,-0.010441,-0.024708,0.014608,-0.999533,-215.246750,90.105865,84.559685
4,0.033333,-0.010487,-0.024643,0.014489,-0.999536,-215.246506,90.105400,84.560455
5,0.041667,-0.010612,-0.024733,0.014566,-0.999532,-215.246536,90.106232,84.559425
6,0.050000,-0.010518,-0.024726,0.014618,-0.999532,-215.246414,90.106621,84.559341
7,0.058333,-0.010434,-0.024738,0.014589,-0.999533,-215.245636,90.105751,84.559044
8,0.066667,-0.010339,-0.024711,0.014666,-0.999534,-215.245575,90.105904,84.559669
9,0.075000,-0.010416,-0.024755,0.014699,-0.999531,-215.246063,90.105850,84.559700
10,0.083333,-0.010414,-0.024714,0.014705,-0.999532,-215.246063,90.106087,84.558937
11,0.091667,-0.010497,-0.024720,0.014644,-0.999532,-215.246231,90.105415,84.560280
12,0.100000,-0.010506,-0.024745,0.014597,-0.999532,-215.246719,90.105827,84.559006
13,0.108333,-0.010419,-0.024752,0.014619,-0.999532,-215.247513,90.105881,84.559616
14,0.116667,-0.010571,-0.024700,0.014734,-0.999530,-215.247604,90.107170,84.558891
15,0.125000,-0.010554,-0.024729,0.014688,-0.999531,-215.247635,90.107140,84.559761
16,0.133333,-0.010625,-0.024757,0.014694,-0.999529,-215.247726,90.106331,84.560799
17,0.141667,-0.010531,-0.024664,0.014598,-0.999534,-215.247467,90.105911,84.559158
18,0.150000,-0.010454,-0.024696,0.014649,-0.999533,-215.247925,90.106232,84.559921
