Format Version,1.25,Take Name,Take 2025-11-28 06.44.58 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 06.44.59.207 PM,Capture Start Frame,3161323,Total Frames in Take,1267,Total Exported Frames,1267,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.010173,-0.010668,0.014989,-0.999779,-215.285370,90.099945,84.513306
1,0.008333,-0.010101,-0.010662,0.014853,-0.999782,-215.285355,90.099121,84.512856
2,0.016667,-0.010272,-0.010644,0.014974,-0.999778,-215.285660,90.100197,84.512840
3,0.025000,-0.010106,-0.010538,0.014791,-0.999784,-215.284943,90.099327,84.511543
4,0.033333,-0.010060,-0.010599,0.014900,-0.999782,-215.285568,90.099648,84.512642
5,0.041667,-0.010199,-0.010634,0.014971,-0.999779,-215.285522,90.100159,84.513062
6,0.050000,-0.010227,-0.010566,0.014876,-0.999781,-215.285324,90.099594,84.511551
7,0.058333,-0.010183,-0.010525,0.014801,-0.999783,-215.286072,90.099838,84.511230
8,0.066667,-0.010166,-0.010556,0.014858,-0.999782,-215.285568,90.099464,84.510483
9,0.075000,-0.010156,-0.010589,0.014831,-0.999782,-215.285706,90.099297,84.510956
10,0.083333,-0.010095,-0.010581,0.014734,-0.999785,-215.285110,90.098953,84.511597
11,0.091667,-0.010175,-0.010585,0.014764,-0.999783,-215.284821,90.099586,84.511497
12,0.100000,-0.010149,-0.010574,0.014838,-0.999783,-215.284973,90.099731,84.511192
13,0.108333,-0.010233,-0.010537,0.014879,-0.999781,-215.285034,90.100487,84.511337
14,0.116667,-0.010301,-0.010628,0.014989,-0.999778,-215.284775,90.101013,84.511902
15,0.125000,-0.010199,-0.010599,0.014952,-0.999780,-215.284683,90.099541,84.511124
16,0.133333,-0.010248,-0.010601,0.014910,-0.999780,-215.285034,90.098419,84.513100
17,0.141667,-0.010172,-0.010530,0.014878,-0.999782,-215.284760,90.098991,84.513557
18,0.150000,-0.010169,-0.010571,0.014886,-0.999782,-215.284912,90.099655,84.513260
