Format Version,1.25,Take Name,G2 ML Take 2025-11-28_00_041,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 04.49.20.037 PM,Capture Start Frame,2328641,Total Frames in Take,1238,Total Exported Frames,1238,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.031070,0.293172,-0.047075,0.954395,-218.954163,84.541252,85.254723
1,0.008333,0.031071,0.293192,-0.047018,0.954391,-218.953613,84.541840,85.254539
2,0.016667,0.031095,0.293164,-0.047088,0.954396,-218.953125,84.541786,85.253899
3,0.025000,0.031167,0.293126,-0.046884,0.954415,-218.952972,84.540848,85.253532
4,0.033333,0.031194,0.293153,-0.046672,0.954416,-218.953537,84.539841,85.254219
5,0.041667,0.031307,0.293118,-0.046611,0.954426,-218.953125,84.540520,85.253586
6,0.050000,0.031129,0.293180,-0.046879,0.954400,-218.953033,84.539795,85.253723
7,0.058333,0.031033,0.293191,-0.046963,0.954395,-218.952896,84.539879,85.253532
8,0.066667,0.030904,0.293212,-0.047083,0.954387,-218.953293,84.540405,85.252853
9,0.075000,0.030998,0.293235,-0.047081,0.954377,-218.954178,84.541061,85.253601
10,0.083333,0.031016,0.293261,-0.047162,0.954365,-218.954178,84.540977,85.254723
11,0.091667,0.031050,0.293189,-0.047176,0.954385,-218.954254,84.540924,85.254089
12,0.100000,0.031000,0.293147,-0.047453,0.954386,-218.954376,84.540627,85.254486
13,0.108333,0.031037,0.293220,-0.047297,0.954370,-218.954330,84.541199,85.254364
14,0.116667,0.031044,0.293167,-0.046989,0.954401,-218.953888,84.542381,85.253181
15,0.125000,0.031036,0.293200,-0.046949,0.954393,-218.954514,84.541191,85.252678
16,0.133333,0.031020,0.293190,-0.046795,0.954404,-218.954895,84.540138,85.253365
17,0.141667,0.031072,0.293185,-0.046920,0.954398,-218.953888,84.539970,85.253105
18,0.150000,0.031089,0.293166,-0.046885,0.954405,-218.953110,84.539757,85.253265
19,0.158333,0.030968,0.293245,-0.046830,0.954387,-218.953445,84.539162,85.254593
20,0.166667,0.031125,0.293241,-0.046537,0.954398,-218.953293,84.539581,85.253304
21,0.175000,0.031096,0.293191,-0.046575,0.954412,-218.953705,84.539452,85.252777
22,0.183333,0.031213,0.293209,-0.046523,0.954406,-218.953400,84.539680,85.252991
23,0.191667,0.031267,0.293226,-0.046506,0.954399,-218.952682,84.541168,85.252625
24,0.200000,0.031283,0.293158,-0.046607,0.954415,-218.953629,84.541740,85.252678
25,0.208333,0.031244,0.293108,-0.046891,0.954418,-218.953918,84.540649,85.253952
26,0.216667,0.031334,0.293178,-0.046718,0.954402,-218.954819,84.540466,85.252853
27,0.225000,0.031172,0.293194,-0.046835,0.954396,-218.955109,84.539688,85.252510
28,0.233333,0.031216,0.293166,-0.046761,0.954407,-218.954498,84.541222,85.253487
29,0.241667,0.031062,0.293221,-0.047006,0.954383,-218.954941,84.540764,85.253769
30,0.250000,0.031065,0.293209,-0.047114,0.954381,-218.955612,84.540634,85.253769
31,0.258333,0.031109,0.293162,-0.046997,0.954400,-218.955780,84.540382,85.254082
32,0.266667,0.031182,0.293243,-0.046937,0.954376,-218.955414,84.540764,85.254356
33,0.275000,0.031126,0.293238,-0.046958,0.954378,-218.954880,84.539932,85.253754
34,0.283333,0.031155,0.293227,-0.046680,0.954394,-218.955536,84.539894,85.253761
35,0.291667,0.031218,0.293142,-0.046582,0.954423,-218.954758,84.539932,85.253181
36,0.300000,0.031255,0.293215,-0.046804,0.954388,-218.954330,84.540359,85.251968
37,0.308333,0.031091,0.293175,-0.047136,0.954390,-218.954727,84.539978,85.253235
38,0.316667,0.031188,0.293151,-0.047060,0.954398,-218.953659,84.540894,85.254578
