Format Version,1.25,Take Name,Take 2025-11-28 07.18.22 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 07.18.22.955 PM,Capture Start Frame,3401768,Total Frames in Take,1425,Total Exported Frames,1425,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.007708,0.384371,0.011181,0.923079,-215.946198,92.238480,84.096718
1,0.008333,-0.007733,0.384335,0.011134,0.923094,-215.946991,92.237595,84.096947
2,0.016667,-0.007684,0.384329,0.011046,0.923098,-215.947418,92.238129,84.097061
3,0.025000,-0.007567,0.384352,0.011078,0.923089,-215.946960,92.239151,84.096596
4,0.033333,-0.007611,0.384340,0.011089,0.923094,-215.946442,92.238525,84.096413
5,0.041667,-0.007801,0.384333,0.010942,0.923097,-215.947174,92.238914,84.096893
6,0.050000,-0.007706,0.384317,0.010986,0.923104,-215.947144,92.239204,84.096916
7,0.058333,-0.007646,0.384328,0.011031,0.923099,-215.947144,92.238243,84.096855
8,0.066667,-0.007691,0.384349,0.011026,0.923090,-215.946869,92.238525,84.096817
9,0.075000,-0.007694,0.384327,0.011009,0.923099,-215.946701,92.238693,84.097549
10,0.083333,-0.007668,0.384380,0.011067,0.923077,-215.947037,92.239197,84.097961
11,0.091667,-0.007632,0.384359,0.011162,0.923084,-215.947037,92.238518,84.097260
12,0.100000,-0.007646,0.384350,0.011026,0.923090,-215.947479,92.239830,84.097603
13,0.108333,-0.007663,0.384371,0.011205,0.923079,-215.946579,92.238792,84.097626
14,0.116667,-0.007696,0.384370,0.011194,0.923079,-215.947266,92.239120,84.098228
15,0.125000,-0.007589,0.384375,0.011227,0.923078,-215.947220,92.238510,84.097595
16,0.133333,-0.007524,0.384350,0.011157,0.923090,-215.946991,92.239502,84.097404
17,0.141667,-0.007462,0.384378,0.011099,0.923079,-215.946701,92.238289,84.097939
18,0.150000,-0.007632,0.384315,0.011088,0.923104,-215.946381,92.238274,84.097847
19,0.158333,-0.007677,0.384327,0.011076,0.923099,-215.946152,92.238663,84.096931
20,0.166667,-0.007751,0.384299,0.010954,0.923111,-215.947083,92.239944,84.096710
21,0.175000,-0.007739,0.384318,0.010970,0.923103,-215.947128,92.239159,84.096893
22,0.183333,-0.007713,0.384343,0.011067,0.923092,-215.947250,92.239609,84.097298
23,0.191667,-0.007609,0.384340,0.011184,0.923093,-215.946869,92.239395,84.097755
24,0.200000,-0.007558,0.384383,0.011035,0.923077,-215.947388,92.239586,84.097404
25,0.208333,-0.007612,0.384336,0.011013,0.923096,-215.946701,92.239174,84.096184
26,0.216667,-0.007668,0.384294,0.010997,0.923113,-215.946442,92.240295,84.096260
27,0.225000,-0.007654,0.384324,0.010964,0.923101,-215.946716,92.241432,84.096260
28,0.233333,-0.007633,0.384300,0.010973,0.923111,-215.946609,92.239998,84.096344
29,0.241667,-0.007577,0.384306,0.010824,0.923111,-215.946991,92.239845,84.096458
30,0.250000,-0.007547,0.384312,0.010917,0.923108,-215.946274,92.240181,84.097336
31,0.258333,-0.007728,0.384322,0.010986,0.923102,-215.946335,92.240181,84.096909
32,0.266667,-0.007753,0.384365,0.011124,0.923082,-215.946411,92.239395,84.097382
33,0.275000,-0.007659,0.384353,0.011129,0.923088,-215.946381,92.238510,84.097664
34,0.283333,-0.007620,0.384336,0.011202,0.923094,-215.945816,92.238358,84.098526
35,0.291667,-0.007636,0.384371,0.011222,0.923079,-215.945953,92.237740,84.098518
36,0.300000,-0.007541,0.384407,0.011263,0.923064,-215.946747,92.237976,84.098694
37,0.308333,-0.007548,0.384367,0.011160,0.923082,-215.946289,92.238029,84.098305
38,0.316667,-0.007605,0.384350,0.011113,0.923089,-215.946457,92.239555,84.097580
39,0.325000,-0.007730,0.384266,0.010939,0.923125,-215.947083,92.241013,84.096886
40,0.333333,-0.007808,0.384277,0.010858,0.923121,-215.946457,92.240540,84.096397
41,0.341667,-0.007653,0.384291,0.010964,0.923115,-215.946274,92.240059,84.096596
42,0.350000,-0.007787,0.384324,0.010984,0.923100,-215.946152,92.239998,84.096970
43,0.358333,-0.007813,0.384355,0.010967,0.923087,-215.945938,92.240509,84.097267
44,0.366667,-0.007610,0.384342,0.011114,0.923093,-215.945465,92.239471,84.097679
45,0.375000,-0.007523,0.384342,0.011084,0.923093,-215.945389,92.239777,84.099487
46,0.383333,-0.007474,0.384339,0.011118,0.923095,-215.944794,92.238480,84.099205
47,0.391667,-0.007492,0.384307,0.011083,0.923108,-215.944916,92.237923,84.099510
48,0.400000,-0.007508,0.384408,0.011215,0.923065,-215.945007,92.238655,84.099640
49,0.408333,-0.007444,0.384355,0.011131,0.923088,-215.945190,92.239136,84.099205
50,0.416667,-0.007688,0.384359,0.010934,0.923087,-215.944717,92.240150,84.098946
51,0.425000,-0.007712,0.384301,0.010926,0.923111,-215.944504,92.239639,84.098526
52,0.433333,-0.007752,0.384308,0.010932,0.923108,-215.944290,92.240349,84.097572
53,0.441667,-0.007781,0.384305,0.010974,0.923108,-215.944427,92.240677,84.095818
54,0.450000,-0.007708,0.384303,0.011102,0.923108,-215.944122,92.239723,84.095818
55,0.458333,-0.007591,0.384298,0.011104,0.923111,-215.944260,92.238586,84.096680
56,0.466667,-0.007629,0.384342,0.011063,0.923093,-215.944717,92.238739,84.095764
57,0.475000,-0.007649,0.384305,0.011027,0.923109,-215.944458,92.238831,84.093811
58,0.483333,-0.007578,0.384338,0.011105,0.923095,-215.943771,92.238548,84.092804
59,0.491667,-0.007550,0.384333,0.011119,0.923097,-215.943665,92.238853,84.093178
60,0.500000,-0.007484,0.384376,0.011058,0.923080,-215.943054,92.238831,84.092873
61,0.508333,-0.007495,0.384313,0.011048,0.923106,-215.942810,92.239555,84.093132
62,0.516667,-0.007602,0.384290,0.010980,0.923116,-215.942673,92.240059,84.093864
63,0.525000,-0.007645,0.384289,0.010910,0.923117,-215.942474,92.241020,84.093018
64,0.533333,-0.007708,0.384316,0.010890,0.923105,-215.942169,92.241318,84.094101
65,0.541667,-0.007599,0.384286,0.010919,0.923118,-215.942078,92.241318,84.095604
66,0.550000,-0.007582,0.384326,0.010997,0.923101,-215.941452,92.240898,84.096107
67,0.558333,-0.007717,0.384321,0.010969,0.923102,-215.941711,92.241280,84.097298
68,0.566667,-0.007623,0.384350,0.011160,0.923089,-215.942307,92.240173,84.098419
69,0.575000,-0.007583,0.384361,0.011180,0.923084,-215.942764,92.240074,84.099121
70,0.583333,-0.007505,0.384348,0.011145,0.923090,-215.942642,92.240486,84.099968
71,0.591667,-0.007498,0.384349,0.011090,0.923091,-215.942719,92.240913,84.099213
