Format Version,1.25,Take Name,Take 2025-11-28 07.46.29 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 07.46.30.716 PM,Capture Start Frame,3604295,Total Frames in Take,1275,Total Exported Frames,1275,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.013055,-0.362479,0.000377,0.931901,-215.774582,92.184097,83.400253
1,0.008333,-0.013062,-0.362465,0.000407,0.931906,-215.773636,92.186508,83.399185
2,0.016667,-0.013105,-0.362483,0.000472,0.931898,-215.774460,92.187050,83.398445
3,0.025000,-0.013119,-0.362440,0.000421,0.931915,-215.774033,92.186478,83.398827
4,0.033333,-0.013178,-0.362407,0.000413,0.931927,-215.773529,92.186638,83.397446
5,0.041667,-0.013132,-0.362435,0.000317,0.931916,-215.772919,92.186287,83.397659
6,0.050000,-0.013152,-0.362483,0.000341,0.931898,-215.772964,92.185234,83.395836
7,0.058333,-0.013109,-0.362486,0.000400,0.931897,-215.773102,92.186066,83.395157
8,0.066667,-0.013096,-0.362463,0.000397,0.931906,-215.772934,92.185814,83.394875
9,0.075000,-0.013164,-0.362519,0.000352,0.931883,-215.772797,92.185692,83.393867
10,0.083333,-0.013157,-0.362487,0.000459,0.931896,-215.773849,92.185089,83.393860
11,0.091667,-0.013245,-0.362474,0.000514,0.931900,-215.774872,92.185280,83.393356
12,0.100000,-0.013235,-0.362520,0.000361,0.931882,-215.774963,92.185936,83.393723
13,0.108333,-0.013114,-0.362480,0.000436,0.931899,-215.774872,92.186363,83.394257
14,0.116667,-0.013093,-0.362474,0.000457,0.931902,-215.774963,92.185493,83.395607
15,0.125000,-0.013097,-0.362524,0.000501,0.931882,-215.775177,92.184952,83.396133
16,0.133333,-0.013139,-0.362488,0.000472,0.931896,-215.775345,92.185036,83.395218
17,0.141667,-0.013166,-0.362472,0.000399,0.931902,-215.774796,92.185463,83.397400
18,0.150000,-0.013081,-0.362464,0.000375,0.931906,-215.775085,92.185364,83.398834
19,0.158333,-0.013033,-0.362511,0.000458,0.931888,-215.774185,92.185257,83.398865
20,0.166667,-0.013050,-0.362447,0.000424,0.931913,-215.774704,92.185486,83.398529
21,0.175000,-0.013121,-0.362486,0.000458,0.931897,-215.773529,92.184296,83.398972
22,0.183333,-0.013104,-0.362471,0.000462,0.931903,-215.774017,92.186180,83.399223
23,0.191667,-0.013157,-0.362470,0.000380,0.931903,-215.773422,92.186234,83.396980
24,0.200000,-0.013042,-0.362495,0.000439,0.931894,-215.773651,92.185600,83.396736
25,0.208333,-0.012968,-0.362481,0.000261,0.931901,-215.773590,92.185822,83.396507
26,0.216667,-0.013023,-0.362481,0.000374,0.931900,-215.773315,92.183937,83.395790
27,0.225000,-0.013112,-0.362438,0.000263,0.931916,-215.773056,92.186462,83.394218
28,0.233333,-0.013147,-0.362518,0.000451,0.931884,-215.774200,92.186783,83.393913
29,0.241667,-0.013157,-0.362504,0.000484,0.931889,-215.774200,92.186157,83.393707
30,0.250000,-0.013233,-0.362495,0.000470,0.931892,-215.774246,92.185905,83.392815
31,0.258333,-0.013182,-0.362513,0.000398,0.931886,-215.775085,92.185730,83.393997
32,0.266667,-0.013129,-0.362488,0.000439,0.931896,-215.775803,92.185204,83.395073
33,0.275000,-0.013148,-0.362449,0.000360,0.931911,-215.774994,92.185669,83.395760
34,0.283333,-0.013159,-0.362436,0.000407,0.931916,-215.775772,92.186722,83.396584
35,0.291667,-0.013097,-0.362397,0.000485,0.931931,-215.775513,92.186386,83.398285
36,0.300000,-0.013163,-0.362453,0.000475,0.931909,-215.774719,92.186531,83.398445
37,0.308333,-0.013067,-0.362395,0.000473,0.931933,-215.775879,92.186104,83.398285
38,0.316667,-0.013048,-0.362424,0.000528,0.931922,-215.774887,92.185768,83.398178
39,0.325000,-0.013110,-0.362395,0.000485,0.931932,-215.774155,92.185204,83.397964
40,0.333333,-0.013101,-0.362421,0.000435,0.931922,-215.774017,92.184105,83.398399
41,0.341667,-0.013053,-0.362465,0.000451,0.931906,-215.774124,92.184662,83.397575
42,0.350000,-0.013030,-0.362449,0.000537,0.931912,-215.774490,92.184845,83.396889
43,0.358333,-0.013007,-0.362465,0.000433,0.931907,-215.773911,92.184975,83.395462
44,0.366667,-0.013222,-0.362429,0.000422,0.931917,-215.774033,92.183395,83.395233
45,0.375000,-0.013228,-0.362506,0.000448,0.931888,-215.773697,92.185280,83.393929
46,0.383333,-0.013153,-0.362537,0.000475,0.931877,-215.773804,92.185539,83.394226
47,0.391667,-0.013117,-0.362511,0.000273,0.931887,-215.774445,92.185631,83.394516
48,0.400000,-0.013128,-0.362497,0.000281,0.931893,-215.774612,92.185555,83.394241
49,0.408333,-0.013173,-0.362476,0.000382,0.931900,-215.774750,92.185303,83.394348
50,0.416667,-0.013133,-0.362459,0.000385,0.931907,-215.774887,92.185242,83.395370
51,0.425000,-0.013070,-0.362479,0.000423,0.931900,-215.775040,92.185822,83.395561
52,0.433333,-0.013141,-0.362481,0.000392,0.931898,-215.775085,92.185387,83.395973
53,0.441667,-0.013174,-0.362526,0.000440,0.931880,-215.775177,92.185005,83.397270
54,0.450000,-0.013117,-0.362485,0.000570,0.931897,-215.774872,92.185280,83.397034
55,0.458333,-0.013144,-0.362515,0.000492,0.931885,-215.774612,92.185364,83.398361
56,0.466667,-0.013168,-0.362481,0.000407,0.931898,-215.774231,92.185234,83.398285
57,0.475000,-0.013124,-0.362475,0.000473,0.931901,-215.774063,92.184532,83.399025
58,0.483333,-0.013067,-0.362458,0.000418,0.931908,-215.774033,92.184624,83.398293
59,0.491667,-0.012973,-0.362457,0.000548,0.931910,-215.773865,92.184814,83.398308
60,0.500000,-0.013044,-0.362500,0.000544,0.931892,-215.774017,92.184937,83.397377
61,0.508333,-0.013116,-0.362447,0.000402,0.931912,-215.774704,92.184624,83.397942
62,0.516667,-0.013114,-0.362463,0.000403,0.931906,-215.774292,92.185333,83.396912
63,0.525000,-0.013078,-0.362495,0.000434,0.931894,-215.775162,92.185753,83.396324
64,0.533333,-0.013071,-0.362528,0.000358,0.931881,-215.775177,92.185562,83.395210
65,0.541667,-0.013162,-0.362541,0.000480,0.931875,-215.775543,92.185555,83.394310
66,0.550000,-0.013208,-0.362545,0.000363,0.931873,-215.775269,92.185799,83.394150
67,0.558333,-0.013102,-0.362501,0.000490,0.931891,-215.775421,92.186317,83.394135
68,0.566667,-0.012972,-0.362453,0.000544,0.931912,-215.775803,92.186516,83.394951
69,0.575000,-0.013056,-0.362505,0.000463,0.931890,-215.775223,92.186653,83.394279
70,0.583333,-0.013155,-0.362472,0.000428,0.931902,-215.774200,92.185699,83.395226
