Format Version,1.25,Take Name,Take 2025-11-28 07.50.49 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 07.50.50.725 PM,Capture Start Frame,3635496,Total Frames in Take,1286,Total Exported Frames,1286,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.014737,-0.361916,0.000226,0.932094,-215.787888,92.216415,83.368889
1,0.008333,-0.014654,-0.361946,0.000208,0.932084,-215.787582,92.214600,83.369217
2,0.016667,-0.014712,-0.361902,0.000244,0.932100,-215.786819,92.215294,83.369255
3,0.025000,-0.014756,-0.361960,0.000190,0.932077,-215.786789,92.214981,83.369789
4,0.033333,-0.014812,-0.361943,0.000321,0.932082,-215.786835,92.214478,83.369583
5,0.041667,-0.014809,-0.361913,0.000274,0.932094,-215.786575,92.215019,83.370224
6,0.050000,-0.014716,-0.361913,0.000225,0.932096,-215.786316,92.216003,83.370567
7,0.058333,-0.014759,-0.361862,0.000320,0.932115,-215.786240,92.215347,83.370689
8,0.066667,-0.014788,-0.361865,0.000284,0.932113,-215.787125,92.216057,83.371048
9,0.075000,-0.014809,-0.361870,0.000336,0.932111,-215.786392,92.215851,83.369675
10,0.083333,-0.014763,-0.361888,0.000388,0.932105,-215.786331,92.214844,83.369461
11,0.091667,-0.014760,-0.361919,0.000118,0.932093,-215.786987,92.216492,83.369049
12,0.100000,-0.014734,-0.361906,0.000097,0.932098,-215.787048,92.216835,83.368774
13,0.108333,-0.014707,-0.361935,0.000143,0.932087,-215.788315,92.216751,83.369415
14,0.116667,-0.014812,-0.361905,0.000132,0.932097,-215.787918,92.216232,83.369049
15,0.125000,-0.014867,-0.361910,0.000303,0.932094,-215.789001,92.215828,83.369179
16,0.133333,-0.014805,-0.361884,0.000279,0.932106,-215.789337,92.215630,83.368484
17,0.141667,-0.014710,-0.361820,0.000412,0.932132,-215.789368,92.215218,83.368942
18,0.150000,-0.014833,-0.361817,0.000300,0.932131,-215.788818,92.214447,83.370552
19,0.158333,-0.014921,-0.361857,0.000395,0.932114,-215.788651,92.214790,83.370056
20,0.166667,-0.014872,-0.361848,0.000184,0.932119,-215.788452,92.215385,83.370415
21,0.175000,-0.014878,-0.361851,0.000225,0.932117,-215.788147,92.215118,83.371178
22,0.183333,-0.014898,-0.361869,0.000288,0.932110,-215.787979,92.216187,83.370979
23,0.191667,-0.014799,-0.361845,0.000299,0.932121,-215.787415,92.214806,83.370468
24,0.200000,-0.014710,-0.361959,0.000238,0.932078,-215.787048,92.216515,83.369720
25,0.208333,-0.014828,-0.361878,0.000101,0.932107,-215.786789,92.215050,83.369644
26,0.216667,-0.014822,-0.361905,0.000240,0.932097,-215.786911,92.215080,83.368851
27,0.225000,-0.014956,-0.361950,0.000184,0.932078,-215.787079,92.215141,83.368843
28,0.233333,-0.014700,-0.361928,0.000162,0.932090,-215.787292,92.216377,83.369438
29,0.241667,-0.014785,-0.361941,0.000214,0.932084,-215.787964,92.215050,83.368477
30,0.250000,-0.014782,-0.361923,0.000195,0.932091,-215.788132,92.214546,83.368675
31,0.258333,-0.014775,-0.361896,0.000105,0.932101,-215.788269,92.214752,83.369484
32,0.266667,-0.014853,-0.361922,0.000193,0.932090,-215.788193,92.215126,83.369453
33,0.275000,-0.014785,-0.361889,0.000282,0.932104,-215.789932,92.216835,83.368156
34,0.283333,-0.014818,-0.361901,0.000237,0.932099,-215.788574,92.215622,83.368538
35,0.291667,-0.014777,-0.361927,0.000160,0.932089,-215.788696,92.214737,83.370476
36,0.300000,-0.014770,-0.361878,0.000228,0.932108,-215.788910,92.214386,83.370651
37,0.308333,-0.014845,-0.361864,0.000247,0.932113,-215.788452,92.214966,83.370010
38,0.316667,-0.014847,-0.361836,0.000362,0.932123,-215.788605,92.215874,83.369949
39,0.325000,-0.014698,-0.361887,0.000244,0.932106,-215.788132,92.216080,83.369835
40,0.333333,-0.014881,-0.361887,0.000200,0.932103,-215.787094,92.214890,83.369156
41,0.341667,-0.014815,-0.361916,0.000168,0.932093,-215.787323,92.214684,83.370537
42,0.350000,-0.014701,-0.361884,0.000195,0.932107,-215.787201,92.215042,83.370850
43,0.358333,-0.014819,-0.361909,0.000225,0.932096,-215.787720,92.214745,83.370590
44,0.366667,-0.014853,-0.361919,0.000311,0.932091,-215.787964,92.214066,83.369652
45,0.375000,-0.014764,-0.361953,0.000161,0.932079,-215.787796,92.214775,83.369980
46,0.383333,-0.014822,-0.361881,0.000275,0.932106,-215.788910,92.215294,83.369843
47,0.391667,-0.014806,-0.361889,0.000248,0.932104,-215.788528,92.215378,83.369255
48,0.400000,-0.014798,-0.361930,0.000361,0.932088,-215.789749,92.213165,83.369240
49,0.408333,-0.014731,-0.361889,0.000228,0.932105,-215.790649,92.216064,83.368912
50,0.416667,-0.014772,-0.361847,0.000359,0.932121,-215.791962,92.215088,83.368912
51,0.425000,-0.014847,-0.361891,0.000265,0.932102,-215.791946,92.214355,83.369736
52,0.433333,-0.014740,-0.361882,0.000224,0.932107,-215.792892,92.214638,83.371559
53,0.441667,-0.014739,-0.361857,0.000222,0.932117,-215.793320,92.214676,83.371071
54,0.450000,-0.014835,-0.361873,0.000267,0.932109,-215.792877,92.215271,83.370384
55,0.458333,-0.014804,-0.361889,0.000175,0.932104,-215.790482,92.214935,83.370438
56,0.466667,-0.014754,-0.361892,0.000146,0.932103,-215.789215,92.215332,83.371147
57,0.475000,-0.014805,-0.361857,0.000237,0.932116,-215.789337,92.215004,83.371155
58,0.483333,-0.014778,-0.361855,0.000210,0.932117,-215.788010,92.215622,83.371849
59,0.491667,-0.014826,-0.361927,0.000148,0.932088,-215.785095,92.214996,83.370819
60,0.500000,-0.014917,-0.362015,0.000226,0.932053,-215.785080,92.215935,83.369949
61,0.508333,-0.014840,-0.361964,0.000214,0.932074,-215.784241,92.216568,83.369766
62,0.516667,-0.014807,-0.361909,0.000199,0.932096,-215.783875,92.216324,83.370110
63,0.525000,-0.014808,-0.361934,0.000205,0.932086,-215.783829,92.216675,83.369186
64,0.533333,-0.014768,-0.361922,0.000257,0.932091,-215.783768,92.214249,83.367577
65,0.541667,-0.014674,-0.361908,0.000120,0.932098,-215.783997,92.215424,83.367958
66,0.550000,-0.014790,-0.361920,0.000125,0.932092,-215.784622,92.215446,83.368591
67,0.558333,-0.014819,-0.361910,0.000183,0.932095,-215.785690,92.216713,83.368935
68,0.566667,-0.014768,-0.361862,0.000183,0.932115,-215.786865,92.216705,83.368843
69,0.575000,-0.014785,-0.361896,0.000311,0.932101,-215.787125,92.216896,83.368103
70,0.583333,-0.014918,-0.361911,0.000229,0.932093,-215.787292,92.217232,83.367973
