Format Version,1.25,Take Name,Take 2025-11-28 06.24.05 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 06.24.06.287 PM,Capture Start Frame,3010977,Total Frames in Take,1174,Total Exported Frames,1174,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.009501,-0.008978,0.013574,-0.999822,-215.271301,90.101433,84.597412
1,0.008333,-0.009570,-0.008975,0.013551,-0.999822,-215.270966,90.100960,84.598129
2,0.016667,-0.009627,-0.008973,0.013614,-0.999821,-215.271240,90.101250,84.597794
3,0.025000,-0.009647,-0.008963,0.013630,-0.999820,-215.271591,90.101418,84.597954
4,0.033333,-0.009617,-0.008966,0.013580,-0.999821,-215.270996,90.101555,84.598213
5,0.041667,-0.009578,-0.008989,0.013623,-0.999821,-215.271088,90.102356,84.597641
6,0.050000,-0.009624,-0.009013,0.013637,-0.999820,-215.271729,90.102592,84.597153
7,0.058333,-0.009589,-0.008977,0.013583,-0.999821,-215.271378,90.102608,84.597466
8,0.066667,-0.009536,-0.008947,0.013595,-0.999822,-215.271408,90.102135,84.598007
9,0.075000,-0.009541,-0.008968,0.013554,-0.999822,-215.270782,90.101044,84.597389
10,0.083333,-0.009526,-0.008982,0.013612,-0.999822,-215.270828,90.101814,84.597771
11,0.091667,-0.009526,-0.008976,0.013586,-0.999822,-215.271469,90.101532,84.597557
12,0.100000,-0.009575,-0.008972,0.013634,-0.999821,-215.270950,90.101234,84.597145
13,0.108333,-0.009503,-0.008951,0.013594,-0.999822,-215.271378,90.101540,84.597565
14,0.116667,-0.009561,-0.008996,0.013589,-0.999821,-215.271088,90.102081,84.597710
15,0.125000,-0.009521,-0.008990,0.013557,-0.999822,-215.271301,90.102623,84.597580
16,0.133333,-0.009529,-0.008983,0.013559,-0.999822,-215.271286,90.102058,84.597054
17,0.141667,-0.009587,-0.009013,0.013638,-0.999820,-215.271423,90.102264,84.597198
18,0.150000,-0.009560,-0.008945,0.013549,-0.999822,-215.271576,90.102310,84.597244
